token,symbol,expiry,freeze_qty,is_cas_enabled
55426,NIFTY28DEC2725500CE,28DEC2027,1801,False
55471,NIFTY27JUN2819500PE,27JUN2028,1801,False
55519,NIFTY26DEC2819500PE,26DEC2028,1801,False
55525,NIFTY26DEC2828500PE,26DEC2028,1801,False
45254,NIFTY18AUG2626850PE,18AUG2026,1801,False
45259,NIFTY18AUG2626950CE,18AUG2026,1801,False
55556,NIFTY26JUN2916500CE,26JUN2029,1801,False
55567,NIFTY26JUN2931500PE,26JUN2029,1801,False
55598,NIFTY24DEC2916500CE,24DEC2029,1801,False
55602,NIFTY24DEC2922500CE,24DEC2029,1801,False
55609,NIFTY24DEC2931500PE,24DEC2029,1801,False
46910,NIFTY01SEP2622100PE,01SEP2026,1801,False
46917,NIFTY01SEP2622300CE,01SEP2026,1801,False
55705,NIFTY31DEC3022500PE,31DEC2030,1801,False
55755,NIFTY31DEC3024000PE,31DEC2030,1801,False
55764,NIFTY31DEC3031500CE,31DEC2030,1801,False
46927,NIFTY01SEP2622550CE,01SEP2026,1801,False
46932,NIFTY01SEP2622650PE,01SEP2026,1801,False
46937,NIFTY01SEP2622800CE,01SEP2026,1801,False
46955,NIFTY01SEP2623250CE,01SEP2026,1801,False
46963,NIFTY01SEP2623450CE,01SEP2026,1801,False
46999,NIFTY01SEP2624350CE,01SEP2026,1801,False
47005,NIFTY01SEP2624500CE,01SEP2026,1801,False
47007,NIFTY01SEP2624550CE,01SEP2026,1801,False
47011,NIFTY01SEP2624650CE,01SEP2026,1801,False
47038,NIFTY01SEP2625300PE,01SEP2026,1801,False
47059,NIFTY01SEP2625850CE,01SEP2026,1801,False
47063,NIFTY01SEP2625950CE,01SEP2026,1801,False
47066,NIFTY01SEP2626000PE,01SEP2026,1801,False
47071,NIFTY01SEP2626150CE,01SEP2026,1801,False
47073,NIFTY01SEP2626200CE,01SEP2026,1801,False
47074,NIFTY01SEP2626200PE,01SEP2026,1801,False
47077,NIFTY01SEP2626300CE,01SEP2026,1801,False
47080,NIFTY01SEP2626350PE,01SEP2026,1801,False
47095,NIFTY01SEP2626650PE,01SEP2026,1801,False
47101,NIFTY01SEP2626750PE,01SEP2026,1801,False
47105,NIFTY01SEP2626850PE,01SEP2026,1801,False
47108,NIFTY01SEP2626950CE,01SEP2026,1801,False
47110,NIFTY01SEP2627000CE,01SEP2026,1801,False
47190,NIFTY29DEC2633000CE,29DEC2026,1801,False
47199,NIFTY26DEC2833000PE,26DEC2028,1801,False
46947,NIFTY01SEP2623050CE,01SEP2026,1801,False
46974,NIFTY01SEP2623700PE,01SEP2026,1801,False
46980,NIFTY01SEP2623850PE,01SEP2026,1801,False
46985,NIFTY01SEP2624000CE,01SEP2026,1801,False
46994,NIFTY01SEP2624200PE,01SEP2026,1801,False
46996,NIFTY01SEP2624250PE,01SEP2026,1801,False
46998,NIFTY01SEP2624300PE,01SEP2026,1801,False
47003,NIFTY01SEP2624450CE,01SEP2026,1801,False
47014,NIFTY01SEP2624700PE,01SEP2026,1801,False
47015,NIFTY01SEP2624750CE,01SEP2026,1801,False
47021,NIFTY01SEP2624900CE,01SEP2026,1801,False
47040,NIFTY01SEP2625350PE,01SEP2026,1801,False
47042,NIFTY01SEP2625400PE,01SEP2026,1801,False
47048,NIFTY01SEP2625550PE,01SEP2026,1801,False
47070,NIFTY01SEP2626100PE,01SEP2026,1801,False
47079,NIFTY01SEP2626350CE,01SEP2026,1801,False
47099,NIFTY01SEP2626700PE,01SEP2026,1801,False
47111,NIFTY01SEP2627000PE,01SEP2026,1801,False
47114,NIFTY01SEP2627100CE,01SEP2026,1801,False
47191,NIFTY29DEC2633000PE,29DEC2026,1801,False
47194,NIFTY28DEC2733000CE,28DEC2027,1801,False
47197,NIFTY27JUN2833000PE,27JUN2028,1801,False
58629,NIFTY29DEC2612000PE,29DEC2026,1801,False
58641,NIFTY29DEC2618000PE,29DEC2026,1801,False
51341,NIFTY27OCT2622700PE,27OCT2026,1801,False
51342,NIFTY27OCT2622750CE,27OCT2026,1801,False
51348,NIFTY27OCT2622900CE,27OCT2026,1801,False
51355,NIFTY27OCT2623050PE,27OCT2026,1801,False
51356,NIFTY27OCT2623100CE,27OCT2026,1801,False
51361,NIFTY27OCT2623200PE,27OCT2026,1801,False
51365,NIFTY27OCT2623300PE,27OCT2026,1801,False
51383,NIFTY27OCT2623750PE,27OCT2026,1801,False
51392,NIFTY27OCT2624000CE,27OCT2026,1801,False
51396,NIFTY27OCT2624050CE,27OCT2026,1801,False
51402,NIFTY27OCT2624200CE,27OCT2026,1801,False
51410,NIFTY27OCT2624400CE,27OCT2026,1801,False
51422,NIFTY27OCT2624600CE,27OCT2026,1801,False
51428,NIFTY27OCT2624750CE,27OCT2026,1801,False
51442,NIFTY27OCT2625050CE,27OCT2026,1801,False
51482,NIFTY27OCT2625800CE,27OCT2026,1801,False
51487,NIFTY27OCT2625900PE,27OCT2026,1801,False
51494,NIFTY27OCT2626100CE,27OCT2026,1801,False
51513,NIFTY27OCT2626550PE,27OCT2026,1801,False
51518,NIFTY27OCT2626700CE,27OCT2026,1801,False
51528,NIFTY27OCT2626950CE,27OCT2026,1801,False
51534,NIFTY27OCT2627050CE,27OCT2026,1801,False
51538,NIFTY27OCT2627150CE,27OCT2026,1801,False
60910,NIFTY25JUN3027000CE,25JUN2030,1801,False
60944,NIFTY25JUN3033000CE,25JUN2030,1801,False
61155,NIFTY25AUG2621250PE,25AUG2026,1801,False
61156,NIFTY25AUG2621300CE,25AUG2026,1801,False
61175,NIFTY25AUG2621400CE,25AUG2026,1801,False
61211,NIFTY25AUG2621500CE,25AUG2026,1801,False
61344,NIFTY25AUG2621850CE,25AUG2026,1801,False
61352,NIFTY25AUG2622000CE,25AUG2026,1801,False
61353,NIFTY25AUG2622000PE,25AUG2026,1801,False
61391,NIFTY24DEC2918000PE,24DEC2029,1801,False
61408,NIFTY25AUG2622650PE,25AUG2026,1801,False
61501,NIFTY25AUG2623550CE,25AUG2026,1801,False
61423,NIFTY25AUG2622850PE,25AUG2026,1801,False
61493,NIFTY25AUG2623450CE,25AUG2026,1801,False
61500,NIFTY25AUG2623500PE,25AUG2026,1801,False
61514,NIFTY25AUG2623550PE,25AUG2026,1801,False
61532,NIFTY25AUG2623750CE,25AUG2026,1801,False
61557,NIFTY25AUG2623900CE,25AUG2026,1801,False
61604,NIFTY25AUG2624000PE,25AUG2026,1801,False
61647,NIFTY25AUG2624200CE,25AUG2026,1801,False
61719,NIFTY25AUG2624350PE,25AUG2026,1801,False
61748,NIFTY24DEC2924000CE,24DEC2029,1801,False
61749,NIFTY24DEC2924000PE,24DEC2029,1801,False
55281,NIFTY29SEP2616500PE,29SEP2026,1801,False
55323,NIFTY29DEC2616500PE,29DEC2026,1801,False
55325,NIFTY29DEC2619500PE,29DEC2026,1801,False
55377,NIFTY29JUN2725500PE,29JUN2027,1801,False
55380,NIFTY29JUN2731500CE,29JUN2027,1801,False
55381,NIFTY29JUN2731500PE,29JUN2027,1801,False
55418,NIFTY28DEC2716500CE,28DEC2027,1801,False
55422,NIFTY28DEC2719500CE,28DEC2027,1801,False
55477,NIFTY27JUN2825500PE,27JUN2028,1801,False
55603,NIFTY24DEC2922500PE,24DEC2029,1801,False
55702,NIFTY31DEC3021000CE,31DEC2030,1801,False
61778,NIFTY25AUG2624650CE,25AUG2026,1801,False
61786,NIFTY25AUG2624650PE,25AUG2026,1801,False
61909,NIFTY25AUG2625050CE,25AUG2026,1801,False
61931,NIFTY25AUG2625250CE,25AUG2026,1801,False
61994,NIFTY25AUG2625750CE,25AUG2026,1801,False
62056,NIFTY25AUG2626200PE,25AUG2026,1801,False
62059,NIFTY25AUG2626250PE,25AUG2026,1801,False
62118,NIFTY25AUG2626400PE,25AUG2026,1801,False
62125,NIFTY25AUG2626500CE,25AUG2026,1801,False
62168,NIFTY25AUG2626600PE,25AUG2026,1801,False
62172,NIFTY25AUG2626700CE,25AUG2026,1801,False
62198,NIFTY25AUG2626800PE,25AUG2026,1801,False
62235,NIFTY25AUG2627050PE,25AUG2026,1801,False
