2026-07-25 10:13:30,912 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26A9C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:13:30,915 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:14:02,921 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26ABE0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:14:06,934 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26AF10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:14:12,941 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B130>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:14:12,941 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:14:44,949 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B350>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:14:48,972 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B680>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:14:54,985 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B8A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:14:54,987 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:15:27,009 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26BAC0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:15:31,015 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26BAC0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:15:37,243 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B570>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:15:37,309 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:16:09,338 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B9B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:16:13,354 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B350>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:16:19,359 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26AE00>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:16:19,360 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:16:51,393 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26B240>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
